PRODUCT,SOURCE CITY,DESTINATION PINCODE,CITY,STATE,DEST. REGION,ZONE,TAT,PREPAID,COD,REVERSE PICKUP,FORWARD PICKUP,DESTINATION CATEGORY,PUDO SERVICEABLE,B2C_COD_SERVICEABLE
SMART_EXPRESS,NOIDA,110089,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110090,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110091,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110092,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110093,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110094,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110095,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110096,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110097,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110101,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110102,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110103,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110104,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110105,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110106,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110107,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110108,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110109,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110110,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110112,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110113,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110114,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110115,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110116,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110117,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
